"HAUL_ID","INDEX_NAME","SURVEY","STOCK","AREA","STRATUM","YEAR","DATE","LAT","LON","COD_N","COD_KG","DEPTH","SURFACE_TE","BOTTOM_TEM","SALINITY","BOTTOM_TYP","SEASON","AGEGROUP","AGE_N","AGE_KG","Data_type","TIME","RESPONSE","AREA_SWEPT","cobble_P","gravel_P","rock_P","mud_P","sand_P","BATHY_DEPT","oisst","rugos","COND","HAUL_ID2","setlat","endlat","setlon","endlon"
"201902_1370_7","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1370,2019,"5/9/2019 00:00:00",43.262167,-69.035167,0,0,165,NA,5.9,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.1821,0,1,1,-157,7.25,-0.0483963228762,"SMOOTH","2019_SPRING_373",43.26216667,43.27483333,-69.03516667,-69.021
"201902_1400_1","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1400,2019,"5/10/2019 00:00:00",42.809833,-70.5245,3,13.93,115,NA,4.5,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.5494,0,0.9496,0.8924,-104,10.0500001907,0.368638366461,"SMOOTH","2019_SPRING_381",42.80983333,42.8005,-70.5245,-70.50633333
"201902_1400_2","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1400,2019,"5/9/2019 00:00:00",43.476,-70.0415,0,0,117,NA,4.9,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.2499,0,0.6504,0.7131,-111,9.18999958038,0.282472610474,"SMOOTH","2019_SPRING_377",43.476,43.474,-70.0415,-70.01883333
"201904_1240_8","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1240,2019,"11/11/2019 00:00:00",42.025425,-69.766848,0,0,169,NA,7.6,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",76,0,0.0384,0,0.0995,0,0.8533,1,-150,10.6899995804,0.816407501698,"ROUGH","2019_FALL_395",42.02542417,42.03838833,-69.766848,-69.78046433
"201904_1260_4","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1260,2019,"11/10/2019 00:00:00",42.242978,-70.167395,0,0,49,NA,0,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",76,0,0.0384,0,1,0,1,1,-41,10.9600000381,0.579207777977,"SMOOTH","2019_FALL_393",42.24297833,42.25910017,-70.167395,-70.17065567
"201904_1260_5","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1260,2019,"10/31/2019 00:00:00",42.338812,-70.403315,1,1.77,92,NA,10,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",76,0,0.0384,0,0.1,0,0.95,0.9471,-90,13.4499998093,0.742272496223,"SMOOTH","2019_FALL_324",42.338811,42.34271667,-70.4033145,-70.425309
"201904_1260_6","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1260,2019,"11/10/2019 00:00:00",42.408035,-70.094298,1,0.614,86,NA,9.5,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",76,0,0.0384,0,1,0,1,1,-83,10.9299993515,0.664876043797,"SMOOTH","2019_FALL_392",42.4080345,42.391521,-70.0942985,-70.0973245
"201904_1260_7","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1260,2019,"11/9/2019 00:00:00",42.868668,-70.147302,17,23.494,62,NA,0,NA,NA,"B.FALL","Age0-2",2,0,"Count",76,2,0.0384,0,0.5005,0,0.6508,0.8344,-59,10.6300001144,1.06729924679,"ROUGH","2019_FALL_386",42.86866883,42.87637383,-70.14730233,-70.16699667
"201904_1270_1","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1270,2019,"11/9/2019 00:00:00",43.187297,-70.227628,1,0.025,118,NA,8.8,NA,NA,"B.FALL","Age0-2",1,0.025,"Biomass_KG",76,1,0.0384,0,0.1505,0,0.8489,0.871,-117,10.3000001907,0.095444843173,"SMOOTH","2019_FALL_382",43.18729733,43.20179917,-70.22762867,-70.2163975
"201904_1270_2","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1270,2019,"11/9/2019 00:00:00",43.220372,-70.114157,0,0,154,NA,8.7,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",76,0,0.0384,0,0.2489,0,0.8024,0.8213,-148,10.3000001907,0.996569633484,"SMOOTH","2019_FALL_381",43.22037167,43.23591767,-70.11415733,-70.10589767
"201904_1270_3","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1270,2019,"11/9/2019 00:00:00",43.015873,-70.362192,0,0,125,NA,7.2,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",76,0,0.0384,0,0.1499,0,0.8508,0.7825,-130,10.2899999619,0.455499112606,"SMOOTH","2019_FALL_385",43.0158725,43.020463,-70.36219183,-70.3405005
"201904_1270_4","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1270,2019,"11/9/2019 00:00:00",43.131948,-69.957355,3,16.645,156,NA,7.5,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",76,0,0.0384,1,0.8486,1,0.5533,0.9573,-148,10.4699993134,0.679824769497,"SMOOTH","2019_FALL_383",43.1319475,43.14836433,-69.9573545,-69.96160117
"201904_1270_5","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1270,2019,"11/2/2019 00:00:00",42.552552,-70.026812,1,6.526,143,NA,7.5,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",76,0,0.0384,0,1,0,1,1,-140,12.5799999237,0.141393810511,"SMOOTH","2019_FALL_329",42.55255183,42.54576717,-70.02681217,-70.04695333
"201904_1280_2","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1280,2019,"11/2/2019 00:00:00",42.689495,-69.90128,0,0,222,NA,8.2,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",76,0,0.0384,0,0.5911,0,0.8391,0.7489,-210,12.6700000763,0.803529918194,"ROUGH","2019_FALL_330",42.68949533,42.705636,-69.90128033,-69.9017355
